;"LLUVIA POBL.
(mm)";"TEMPERATURA
  MEDIA (ºc)";"APORTACIONES A LA PRESA
(hm³)";"VOLUMEN EMBALSADO
(hm³)";"VOLUMEN PARA RIEGO
(m³)";"VOLUMEN PARA ABASTECIMIENTO
(m³)";"VOLUMEN VERTIDO
(m³)"
27/09/1992;11;0;0,007875983;50,137;0;0;0
28/09/1992;0;0;0,013389171;50,137;0;0;0
29/09/1992;0;0;0,004558386;49,953;0;0;0,17651
30/09/1992;0;0;0,003694954;49,822;0;0;0,12502
01/10/1992;0;0;0,005600276;49,639;0;0;0,1766
02/10/1992;0;0;0,003629365;49,509;0;0;0,12217
03/10/1992;0;0;0,003495555;49,405;0;0;0,09189
04/10/1992;0;0;0,024188611;49,405;0;0;0
05/10/1992;0;0;-0,01195971;49,379;0;0;0
06/10/1992;0;0;0,001474174;49,301;0;0;0,06337
07/10/1992;0;0;0,003504446;49,197;0;0;0,0922
08/10/1992;0;0;0,0036575;49,067;0;0;0,12304
09/10/1992;10;0;-0,023665186;48,99;0;0;0,0523
10/10/1992;5;0;-0,010426434;48,886;0;0;0,09099
11/10/1992;0;0;0,009042481;48,886;0;0;0
12/10/1992;0;0;-0,016443997;48,86;0;0;0
13/10/1992;0;0;0,010072544;48,86;0;0;0
14/10/1992;0;0;0,003584035;48,731;0;0;0,11995
15/10/1992;0;0;0,002653107;48,654;0;0;0,06935
16/10/1992;1,5;0;-0,001111519;48,551;0;0;0,09803
17/10/1992;51;0;0,21396993;48,68;0;0;0,07724
18/10/1992;0;0;0,02909301;48,706;0;0;0
19/10/1992;20;0;0,026289187;48,731;0;0;0
20/10/1992;10;0;0,079032388;48,809;0;0;0
21/10/1992;0,5;0;0,054874055;48,86;0;0;0
22/10/1992;0;0;0,011105625;48,86;0;0;0
23/10/1992;0;0;0,012396977;48,86;0;0;0
24/10/1992;0;0;0,000606448;48,835;0;0;0,01373
25/10/1992;0;0;0,007487326;48,835;0;0;0
26/10/1992;0;0;0,009810979;48,835;0;0;0
27/10/1992;0;0;0,00068959;48,809;0;0;0,01714
28/10/1992;0;0;0,000564132;48,757;0;0;0,03941
29/10/1992;0;0;0,00260654;48,706;0;0;0,04175
30/10/1992;1;0;-7,10209E-05;48,68;0;0;0,02361
31/10/1992;0;0;0,00066553;48,654;0;0;0,01662
01/11/1992;0;0;0,013651617;48,654;0;0;0
02/11/1992;0;0;-0,010550509;48,628;0;0;0
03/11/1992;0;0;0,002575924;48,577;0;0;0,04071
04/11/1992;0;0;0,00276593;48,448;0;0;0,12483
05/11/1992;0;0;0,008477248;48,448;0;0;0
06/11/1992;0;0;0,005137726;48,448;0;0;0
07/11/1992;0;0;0,058940601;48,5;0;0;0
08/11/1992;0;0;0,006426483;48,5;0;0;0
09/11/1992;10,5;0;0,029885767;48,525;0;0;0
10/11/1992;0;0;0,00411433;48,525;0;0;0
11/11/1992;0;0;0,029858481;48,551;0;0;0
12/11/1992;0;0;0,038093968;48,577;0;0;0
13/11/1992;0;0;0,010807376;48,577;0;0;0
14/11/1992;0;0;-0,012623934;48,551;0;0;0
15/11/1992;0;0;-0,020342796;48,525;0;0;0
16/11/1992;8;0;0,007457223;48,525;0;0;0
17/11/1992;0;0;-0,015488805;48,5;0;0;0
18/11/1992;0;0;0,012081788;48,5;0;0;0
19/11/1992;0;0;-0,018290808;48,474;0;0;0
20/11/1992;0;0;0,004368542;48,474;0;0;0
21/11/1992;0;0;0,015161411;48,474;0;0;0
22/11/1992;0;0;0,005653408;48,474;0;0;0
23/11/1992;0;0;0,004625515;48,474;0;0;0
24/11/1992;0;0;0,030370008;48,5;0;0;0
25/11/1992;0;0;0,008997076;48,5;0;0;0
26/11/1992;0;0;0,006169423;48,5;0;0;0
27/11/1992;0;0;0,005655305;48,5;0;0;0
28/11/1992;0;0;0,030142913;48,525;0;0;0
29/11/1992;0;0;0,003085748;48,525;0;0;0
30/11/1992;0;0;0,003600039;48,525;0;0;0
01/12/1992;0;0;0,005142913;48,525;0;0;0
02/12/1992;0;0;0,000943677;48,474;0;0;0,04886
03/12/1992;0;0;0,031912364;48,5;0;0;0
04/12/1992;0;0;0,009511195;48,5;0;0;0
05/12/1992;1,5;0;0,001285297;48,5;0;0;0
06/12/1992;0;0;0,007968839;48,5;0;0;0
07/12/1992;0;0;0,010539432;48,5;0;0;0
08/12/1992;0;0;0,008997076;48,5;0;0;0
09/12/1992;0;0;0,013624144;48,5;0;0;0
10/12/1992;0;0;-0,014693185;48,474;0;0;0
11/12/1992;0;0;0,002055785;48,474;0;0;0
12/12/1992;0;0;0,003854596;48,474;0;0;0
13/12/1992;0;0;0,003854596;48,474;0;0;0
14/12/1992;0;0;0,002569731;48,474;0;0;0
15/12/1992;0;0;0,003083677;48,474;0;0;0
16/12/1992;8,5;0;0,001284865;48,474;0;0;0
17/12/1992;0,1;0;0,006167354;48,474;0;0;0
18/12/1992;0;0;0,030627068;48,5;0;0;0
19/12/1992;0;0;0,00359883;48,5;0;0;0
20/12/1992;0;0;0,001028237;48,5;0;0;0
21/12/1992;0;0;0,001542356;48,5;0;0;0
22/12/1992;0,1;0;0,001028237;48,5;0;0;0
23/12/1992;0;0;0,005141186;48,5;0;0;0
24/12/1992;0;0;0,00359883;48,5;0;0;0
25/12/1992;0;0;0,026800019;48,525;0;0;0
26/12/1992;0;0;0,003600039;48,525;0;0;0
27/12/1992;0,5;0;0,001028583;48,525;0;0;0
28/12/1992;1;0;0,000514291;48,525;0;0;0
29/12/1992;0;0;0,029858481;48,551;0;0;0
30/12/1992;0;0;0,004115713;48,551;0;0;0
31/12/1992;0;0;0,029087822;48,577;0;0;0
01/01/1993;0;0;-0,021970726;48,577;0;0;0
02/01/1993;0;0;0,003087822;48,577;0;0;0
03/01/1993;0;0;0,003602459;48,577;0;0;0
04/01/1993;0;0;-0,018025807;48,551;0;0;0
05/01/1993;0;0;0,003601249;48,551;0;0;0
06/01/1993;0;0;0,003858481;48,551;0;0;0
07/01/1993;0;0;0,00257232;48,551;0;0;0
08/01/1993;0;0;0,003344017;48,551;0;0;0
09/01/1993;0;0;-0,099146705;48,448;0;0;0
10/01/1993;0;0;0,00693593;48,448;0;0;0
11/01/1993;0;0;-0,023716;48,423;0;0;0
12/01/1993;0;0;0,008988001;48,423;0;0;0
13/01/1993;0;0;0,008988001;48,423;0;0;0
14/01/1993;0;0;0,001284;48,423;0;0;0
15/01/1993;0;0;0,0028248;48,423;0;0;0
16/01/1993;0;0;-0,022662718;48,397;0;0;0
17/01/1993;0;0;0,004364138;48,397;0;0;0
18/01/1993;0;0;0,001026856;48,397;0;0;0
19/01/1993;0;0;-0,069819262;48,32;0;0;0
20/01/1993;0;0;-0,075719019;48,243;0;0;0
21/01/1993;0;0;0,003586747;48,243;0;0;0
22/01/1993;0;0;-0,071369374;48,166;0;0;0
23/01/1993;0;0;-0,07316482;48,089;0;0;0
24/01/1993;0;0;0,030092244;48,115;0;0;0
25/01/1993;0;0;0,003580713;48,115;0;0;0
26/01/1993;0;0;-0,07495595;48,038;0;0;0
27/01/1993;0;0;-0,070384538;47,962;0;0;0
28/01/1993;0;0;-0,097666628;47,86;0;0;0
29/01/1993;0;0;-0,07241637;47,783;0;0;0
30/01/1993;3;0;-0,073964893;47,707;0;0;0
31/01/1993;1;0;0,003818407;47,758;0;0;0
01/02/1993;1;0;0,001272802;47,758;0;0;0
02/02/1993;2,5;0;0,0283104;47,783;0;0;0
03/02/1993;0;0;-0,071421009;47,707;0;0;0
04/02/1993;0;0;-0,099459552;47,605;0;0;0
05/02/1993;0;0;0,003810671;47,605;0;0;0
06/02/1993;0;0;-0,097687073;47,503;0;0;0
07/02/1993;0,5;0;0,005835136;47,503;0;0;0
08/02/1993;0;0;-0,096439549;47,402;0;0;0
09/02/1993;1;0;-0,123206053;47,275;0;0;0
10/02/1993;0,05;0;-0,122464977;47,149;0;0;0
11/02/1993;20;0;-0,121462668;47,023;0;0;0
12/02/1993;4;0;-0,072222737;46,947;0;0;0
13/02/1993;0;0;0,00705089;46,947;0;0;0
14/02/1993;0;0;0,005539985;46,947;0;0;0
15/02/1993;0;0;0,02953425;46,972;0;0;0
16/02/1993;0;0;0,003274736;46,972;0;0;0
17/02/1993;0;0;0,006801375;46,972;0;0;0
18/02/1993;0;0;0,006801375;46,972;0;0;0
19/02/1993;0;0;0,032299705;46,998;0;0;0
20/02/1993;0;0;0,006551694;46,998;0;0;0
21/02/1993;0;0;0,007307658;46,998;0;0;0
22/02/1993;0;0;0,00705567;46,998;0;0;0
23/02/1993;0,1;0;0,002267894;46,998;0;0;0
24/02/1993;0;0;0,002519882;46,998;0;0;0
25/02/1993;0;0;0,005543741;46,998;0;0;0
26/02/1993;0,5;0;0,007811635;46,998;0;0;0
27/02/1993;0;0;-0,010382027;46,972;0;0;0
28/02/1993;0;0;0,004282347;46,972;0;0;0
01/03/1993;0;0;0,005038056;46,972;0;0;0
02/03/1993;0;0;0,001774572;46,897;0;0;0,07149
03/03/1993;0;0;0,002264817;46,897;0;0;0
04/03/1993;0;0;0,00201317;46,897;0;0;0
05/03/1993;7,5;0;0,029531171;46,922;0;0;0
06/03/1993;0,5;0;0,004279439;46,922;0;0;0
07/03/1993;0;0;0,005286366;46,922;0;0;0
08/03/1993;0;0;0,031799073;46,947;0;0;0
09/03/1993;0;0;0,003777263;46,947;0;0;0
10/03/1993;0;0;-0,020217097;46,922;0;0;0
11/03/1993;0;0;0,006796757;46,922;0;0;0
12/03/1993;2,5;0;0,03003635;46,947;0;0;0
13/03/1993;28;0;0,134576325;47,073;0;0;0
14/03/1993;4,5;0;0,160088274;47,225;0;0;0
15/03/1993;0;0;0,109605442;47,326;0;0;0
16/03/1993;0;0;0,009111645;47,326;0;0;0
17/03/1993;0;0;0,009111645;47,326;0;0;0
18/03/1993;0;0;0,007086835;47,326;0;0;0
19/03/1993;0;0;0,005315126;47,326;0;0;0
20/03/1993;0;0;0,009870949;47,326;0;0;0
21/03/1993;0;0;0,010883354;47,326;0;0;0
22/03/1993;0;0;0,035633851;47,351;0;0;0
23/03/1993;0;0;0,021774075;47,351;0;0;0
24/03/1993;4;0;0,017216711;47,351;0;0;0
25/03/1993;15,5;0;0,087404976;47,427;0;0;0
26/03/1993;0;0;0,019768625;47,427;0;0;0
27/03/1993;0;0;0,011911864;47,427;0;0;0
28/03/1993;0;0;0,014192859;47,427;0;0;0
29/03/1993;0;0;0,010137756;47,427;0;0;0
30/03/1993;0;0;0,034620015;47,453;0;0;0
31/03/1993;0;0;0,011155313;47,453;0;0;0
01/04/1993;0;0;0,024338865;47,453;0;0;0
02/04/1993;0;0;0,012422962;47,453;0;0;0
03/04/1993;0;0;0,012676492;47,453;0;0;0
04/04/1993;0;0;0,01546532;47,453;0;0;0
05/04/1993;0;0;-0,012314029;47,427;0;0;0
06/04/1993;0;0;1,46365E-05;47,402;0;0;0,01184
07/04/1993;0;0;0,013681353;47,402;0;0;0
08/04/1993;0;0;0,013934712;47,402;0;0;0
09/04/1993;0;0;0,022548897;47,402;0;0;0
10/04/1993;0;0;-0,005751278;47,377;0;0;0
11/04/1993;0;0;0,00861127;47,377;0;0;0
12/04/1993;0;0;0,011143997;47,377;0;0;0
13/04/1993;0;0;-0,015366149;47,351;0;0;0
14/04/1993;4,5;0;0,00329143;47,351;0;0;0
15/04/1993;0,5;0;0,009367916;47,351;0;0;0
16/04/1993;0;0;-0,016394558;47,326;0;0;0
17/04/1993;0;0;0,014426771;47,326;0;0;0
18/04/1993;0;0;0,01417367;47,326;0;0;0
19/04/1993;0;0;0,011895759;47,326;0;0;0
20/04/1993;0;0;-0,016144457;47,301;0;0;0
21/04/1993;0;0;0,000802567;47,25;0;0;0,04624
22/04/1993;0;0;0,01087229;47,25;0;0;0
23/04/1993;0;0;0,018204765;47,25;0;0;0
24/04/1993;4;0;0,005056879;47,25;0;0;0
